s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	s65	s66	s67	s68	s69	s70	s71	s72	s73	s74	s75	s76	s77	s78	s79	s80	s81	s82	s83	s84	s85	s86	s87	s88	s89	s90	s91	s92	s93	p0	p1
			*V-Obs-V	Max	ID-C	ID-lat
	ppulta	0.0	0	0	0	1
	pputa	0.0	0	1	0	0
nat-a$$$s82$p0	nata	1.0	1	0	0	0
	naja	0.0	0	0	1	0
	nala	0.0	0	0	0	1
	naa	0.0	0	1	0	0
nat-ta$$$s82$p1	natta	1.0	0	0	0	0
	najta	0.0	0	0	1	0
	nalta	0.0	0	0	0	1
	nata	0.0	0	1	0	0
kkut-a$$$s83$p0	kkuta	1.0	1	0	0	0
	kkuja	0.0	0	0	1	0
	kkula	0.0	0	0	0	1
	kkua	0.0	0	1	0	0
kkut-ta$$$s83$p1	kkutta	1.0	0	0	0	0
	kkujta	0.0	0	0	1	0
	kkulta	0.0	0	0	0	1
	kkuta	0.0	0	1	0	0
sit-a$$$s84$p0	sita	1.0	1	0	0	0
	sija	0.0	0	0	1	0
	sila	0.0	0	0	0	1
	sia	0.0	0	1	0	0
sit-ta$$$s84$p1	sitta	1.0	0	0	0	0
	sijta	0.0	0	0	1	0
	silta	0.0	0	0	0	1
	sita	0.0	0	1	0	0
ges-a$$$s85$p0	gesa	0.0	1	0	0	0
	geja	0.0	0	0	1	0
	gela	0.0	0	0	0	1
	gea	1.0	0	1	0	0
ges-ta$$$s85$p1	getta	1.0	0	0	0	0
	gejta	0.0	0	0	1	0
	gelta	0.0	0	0	0	1
	geta	0.0	0	1	0	0
kkaes-a$$$s86$p0	kkaesa	0.0	1	0	0	0
	kkaeja	0.0	0	0	1	0
	kkaela	0.0	0	0	0	1
	kkaea	1.0	0	1	0	0
kkaes-ta$$$s86$p1	kkaetta	1.0	0	0	0	0
	kkaejta	0.0	0	0	1	0
	kkaelta	0.0	0	0	0	1
	kkaeta	0.0	0	1	0	0
hoes-a$$$s87$p0	hoesa	0.0	1	0	0	0
	hoeja	0.0	0	0	1	0
	hoela	0.0	0	0	0	1
	hoea	1.0	0	1	0	0
hoes-ta$$$s87$p1	hoetta	1.0	0	0	0	0
	hoejta	0.0	0	0	1	0
	hoelta	0.0	0	0	0	1
	hoeta	0.0	0	1	0	0
koes-a$$$s88$p0	koesa	0.0	1	0	0	0
	koeja	0.0	0	0	1	0
	koela	0.0	0	0	0	1
	koea	1.0	0	1	0	0
koes-ta$$$s88$p1	koetta	1.0	0	0	0	0
	koejta	0.0	0	0	1	0
	koelta	0.0	0	0	0	1
	koeta	0.0	0	1	0	0
nos-a$$$s89$p0	nosa	0.0	1	0	0	0
	noja	0.0	0	0	1	0
	nola	0.0	0	0	0	1
	noa	1.0	0	1	0	0
nos-ta$$$s89$p1	notta	1.0	0	0	0	0
	nojta	0.0	0	0	1	0
	nolta	0.0	0	0	0	1
	nota	0.0	0	1	0	0
poes-a$$$s90$p0	poesa	1.0	1	0	0	0
	poeja	0.0	0	0	1	0
	poela	0.0	0	0	0	1
	poea	0.0	0	1	0	0
poes-ta$$$s90$p1	poetta	1.0	0	0	0	0
	poejta	0.0	0	0	1	0
	poelta	0.0	0	0	0	1
	poeta	0.0	0	1	0	0
meos-a$$$s91$p0	meosa	1.0	1	0	0	0
	meoja	0.0	0	0	1	0
	meola	0.0	0	0	0	1
	meoa	0.0	0	1	0	0
meos-ta$$$s91$p1	meotta	1.0	0	0	0	0
	meojta	0.0	0	0	1	0
	meolta	0.0	0	0	0	1
	meota	0.0	0	1	0	0
jjaes-a$$$s92$p0	jjaesa	1.0	1	0	0	0
	jjaeja	0.0	0	0	1	0
	jjaela	0.0	0	0	0	1
	jjaea	0.0	0	1	0	0
jjaes-ta$$$s92$p1	jjaetta	1.0	0	0	0	0
	jjaejta	0.0	0	0	1	0
	jjaelta	0.0	0	0	0	1
	jjaeta	0.0	0	1	0	0
ches-a$$$s93$p0	chesa	1.0	1	0	0	0
	cheja	0.0	0	0	1	0
	chela	0.0	0	0	0	1
	chea	0.0	0	1	0	0
ches-ta$$$s93$p1	chetta	1.0	0	0	0	0
	chejta	0.0	0	0	1	0
	chelta	0.0	0	0	0	1
	cheta	0.0	0	1	0	0
