s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	s65	s66	s67	s68	s69	s70	s71	s72	s73	s74	s75	s76	s77	s78	s79	s80	s81	s82	s83	s84	s85	s86	s87	s88	s89	s90	s91	s92	s93	p0	p1	p2	p3	p4	p5
			*V-Obs-V	Max	ID-C	ID-lat
	buwta	0.0	0	0	1	0
	bulta	0.0	0	0	0	1
	buta	0.0	0	1	0	0
bup-e$$$s27$p2	bupe	0.0	1	0	0	0
	buwe	1.0	0	0	1	0
	bule	0.0	0	0	0	1
	bue	0.0	0	1	0	0
bup-te$$$s27$p3	bupte	1.0	0	0	0	0
	buwte	0.0	0	0	1	0
	bulte	0.0	0	0	0	1
	bute	0.0	0	1	0	0
bup-i$$$s27$p4	bupi	0.0	1	0	0	0
	buwi	1.0	0	0	1	0
	buli	0.0	0	0	0	1
	bui	0.0	0	1	0	0
bup-ti$$$s27$p5	bupti	1.0	0	0	0	0
	buwti	0.0	0	0	1	0
	bulti	0.0	0	0	0	1
	buti	0.0	0	1	0	0
mip-a$$$s28$p0	mipa	0.0	1	0	0	0
	miwa	1.0	0	0	1	0
	mila	0.0	0	0	0	1
	mia	0.0	0	1	0	0
mip-ta$$$s28$p1	mipta	1.0	0	0	0	0
	miwta	0.0	0	0	1	0
	milta	0.0	0	0	0	1
	mita	0.0	0	1	0	0
mip-e$$$s28$p2	mipe	0.0	1	0	0	0
	miwe	1.0	0	0	1	0
	mile	0.0	0	0	0	1
	mie	0.0	0	1	0	0
mip-te$$$s28$p3	mipte	1.0	0	0	0	0
	miwte	0.0	0	0	1	0
	milte	0.0	0	0	0	1
	mite	0.0	0	1	0	0
mip-i$$$s28$p4	mipi	0.0	1	0	0	0
	miwi	1.0	0	0	1	0
	mili	0.0	0	0	0	1
	mii	0.0	0	1	0	0
mip-ti$$$s28$p5	mipti	1.0	0	0	0	0
	miwti	0.0	0	0	1	0
	milti	0.0	0	0	0	1
	miti	0.0	0	1	0	0
dwip-a$$$s29$p0	dwipa	0.0	1	0	0	0
	dwiwa	1.0	0	0	1	0
	dwila	0.0	0	0	0	1
	dwia	0.0	0	1	0	0
dwip-ta$$$s29$p1	dwipta	1.0	0	0	0	0
	dwiwta	0.0	0	0	1	0
	dwilta	0.0	0	0	0	1
	dwita	0.0	0	1	0	0
dwip-e$$$s29$p2	dwipe	0.0	1	0	0	0
	dwiwe	1.0	0	0	1	0
	dwile	0.0	0	0	0	1
	dwie	0.0	0	1	0	0
dwip-te$$$s29$p3	dwipte	1.0	0	0	0	0
	dwiwte	0.0	0	0	1	0
	dwilte	0.0	0	0	0	1
	dwite	0.0	0	1	0	0
dwip-i$$$s29$p4	dwipi	0.0	1	0	0	0
	dwiwi	1.0	0	0	1	0
	dwili	0.0	0	0	0	1
	dwii	0.0	0	1	0	0
dwip-ti$$$s29$p5	dwipti	1.0	0	0	0	0
	dwiwti	0.0	0	0	1	0
	dwilti	0.0	0	0	0	1
	dwiti	0.0	0	1	0	0
choep-a$$$s30$p0	choepa	0.0	1	0	0	0
	choewa	1.0	0	0	1	0
	choela	0.0	0	0	0	1
	choea	0.0	0	1	0	0
choep-ta$$$s30$p1	choepta	1.0	0	0	0	0
	choewta	0.0	0	0	1	0
	choelta	0.0	0	0	0	1
	choeta	0.0	0	1	0	0
choep-e$$$s30$p2	choepe	0.0	1	0	0	0
	choewe	1.0	0	0	1	0
	choele	0.0	0	0	0	1
	choee	0.0	0	1	0	0
choep-te$$$s30$p3	choepte	1.0	0	0	0	0
	choewte	0.0	0	0	1	0
	choelte	0.0	0	0	0	1
	choete	0.0	0	1	0	0
choep-i$$$s30$p4	choepi	0.0	1	0	0	0
	choewi	1.0	0	0	1	0
	choeli	0.0	0	0	0	1
	choei	0.0	0	1	0	0
choep-ti$$$s30$p5	choepti	1.0	0	0	0	0
	choewti	0.0	0	0	1	0
	choelti	0.0	0	0	0	1
	choeti	0.0	0	1	0	0
sop-a$$$s31$p0	sopa	0.0	1	0	0	0
	sowa	1.0	0	0	1	0
	sola	0.0	0	0	0	1
	soa	0.0	0	1	0	0
sop-ta$$$s31$p1	sopta	1.0	0	0	0	0
	sowta	0.0	0	0	1	0
	solta	0.0	0	0	0	1
	sota	0.0	0	1	0	0
sop-e$$$s31$p2	sope	0.0	1	0	0	0
	sowe	1.0	0	0	1	0
	sole	0.0	0	0	0	1
	soe	0.0	0	1	0	0
sop-te$$$s31$p3	sopte	1.0	0	0	0	0
	sowte	0.0	0	0	1	0
	solte	0.0	0	0	0	1
	sote	0.0	0	1	0	0
sop-i$$$s31$p4	sopi	0.0	1	0	0	0
	sowi	1.0	0	0	1	0
	soli	0.0	0	0	0	1
	soi	0.0	0	1	0	0
sop-ti$$$s31$p5	sopti	1.0	0	0	0	0
	sowti	0.0	0	0	1	0
	solti	0.0	0	0	0	1
	soti	0.0	0	1	0	0
swip-a$$$s32$p0	swipa	0.0	1	0	0	0
	swiwa	1.0	0	0	1	0
	swila	0.0	0	0	0	1
	swia	0.0	0	1	0	0
swip-ta$$$s32$p1	swipta	1.0	0	0	0	0
	swiwta	0.0	0	0	1	0
	swilta	0.0	0	0	0	1
	swita	0.0	0	1	0	0
swip-e$$$s32$p2	swipe	0.0	1	0	0	0
	swiwe	1.0	0	0	1	0
	swile	0.0	0	0	0	1
	swie	0.0	0	1	0	0
swip-te$$$s32$p3	swipte	1.0	0	0	0	0
	swiwte	0.0	0	0	1	0
	swilte	0.0	0	0	0	1
	swite	0.0	0	1	0	0
swip-i$$$s32$p4	swipi	0.0	1	0	0	0
	swiwi	1.0	0	0	1	0
	swili	0.0	0	0	0	1
	swii	0.0	0	1	0	0
swip-ti$$$s32$p5	swipti	1.0	0	0	0	0
	swiwti	0.0	0	0	1	0
	swilti	0.0	0	0	0	1
	switi	0.0	0	1	0	0
pwip-a$$$s33$p0	pwipa	0.0	1	0	0	0
	pwiwa	1.0	0	0	1	0
	pwila	0.0	0	0	0	1
	pwia	0.0	0	1	0	0
pwip-ta$$$s33$p1	pwipta	1.0	0	0	0	0
	pwiwta	0.0	0	0	1	0
	pwilta	0.0	0	0	0	1
	pwita	0.0	0	1	0	0
pwip-e$$$s33$p2	pwipe	0.0	1	0	0	0
	pwiwe	1.0	0	0	1	0
	pwile	0.0	0	0	0	1
	pwie	0.0	0	1	0	0
pwip-te$$$s33$p3	pwipte	1.0	0	0	0	0
	pwiwte	0.0	0	0	1	0
	pwilte	0.0	0	0	0	1
	pwite	0.0	0	1	0	0
pwip-i$$$s33$p4	pwipi	0.0	1	0	0	0
	pwiwi	1.0	0	0	1	0
	pwili	0.0	0	0	0	1
	pwii	0.0	0	1	0	0
pwip-ti$$$s33$p5	pwipti	1.0	0	0	0	0
	pwiwti	0.0	0	0	1	0
	pwilti	0.0	0	0	0	1
	pwiti	0.0	0	1	0	0
jjeop-a$$$s34$p0	jjeopa	0.0	1	0	0	0
	jjeowa	1.0	0	0	1	0
	jjeola	0.0	0	0	0	1
	jjeoa	0.0	0	1	0	0
jjeop-ta$$$s34$p1	jjeopta	1.0	0	0	0	0
	jjeowta	0.0	0	0	1	0
	jjeolta	0.0	0	0	0	1
	jjeota	0.0	0	1	0	0
jjeop-e$$$s34$p2	jjeope	0.0	1	0	0	0
	jjeowe	1.0	0	0	1	0
	jjeole	0.0	0	0	0	1
	jjeoe	0.0	0	1	0	0
jjeop-te$$$s34$p3	jjeopte	1.0	0	0	0	0
	jjeowte	0.0	0	0	1	0
	jjeolte	0.0	0	0	0	1
	jjeote	0.0	0	1	0	0
jjeop-i$$$s34$p4	jjeopi	0.0	1	0	0	0
	jjeowi	1.0	0	0	1	0
	jjeoli	0.0	0	0	0	1
	jjeoi	0.0	0	1	0	0
jjeop-ti$$$s34$p5	jjeopti	1.0	0	0	0	0
	jjeowti	0.0	0	0	1	0
	jjeolti	0.0	0	0	0	1
	jjeoti	0.0	0	1	0	0
keop-a$$$s35$p0	keopa	0.0	1	0	0	0
	keowa	1.0	0	0	1	0
	keola	0.0	0	0	0	1
	keoa	0.0	0	1	0	0
keop-ta$$$s35$p1	keopta	1.0	0	0	0	0
	keowta	0.0	0	0	1	0
	keolta	0.0	0	0	0	1
	keota	0.0	0	1	0	0
keop-e$$$s35$p2	keope	0.0	1	0	0	0
	keowe	1.0	0	0	1	0
	keole	0.0	0	0	0	1
	keoe	0.0	0	1	0	0
keop-te$$$s35$p3	keopte	1.0	0	0	0	0
	keowte	0.0	0	0	1	0
	keolte	0.0	0	0	0	1
	keote	0.0	0	1	0	0
keop-i$$$s35$p4	keopi	0.0	1	0	0	0
	keowi	1.0	0	0	1	0
	keoli	0.0	0	0	0	1
	keoi	0.0	0	1	0	0
keop-ti$$$s35$p5	keopti	1.0	0	0	0	0
	keowti	0.0	0	0	1	0
	keolti	0.0	0	0	0	1
	keoti	0.0	0	1	0	0
soep-a$$$s36$p0	soepa	0.0	1	0	0	0
	soewa	1.0	0	0	1	0
	soela	0.0	0	0	0	1
	soea	0.0	0	1	0	0
soep-ta$$$s36$p1	soepta	1.0	0	0	0	0
	soewta	0.0	0	0	1	0
	soelta	0.0	0	0	0	1
	soeta	0.0	0	1	0	0
soep-e$$$s36$p2	soepe	0.0	1	0	0	0
	soewe	1.0	0	0	1	0
	soele	0.0	0	0	0	1
	soee	0.0	0	1	0	0
soep-te$$$s36$p3	soepte	1.0	0	0	0	0
	soewte	0.0	0	0	1	0
	soelte	0.0	0	0	0	1
	soete	0.0	0	1	0	0
soep-i$$$s36$p4	soepi	0.0	1	0	0	0
	soewi	1.0	0	0	1	0
	soeli	0.0	0	0	0	1
	soei	0.0	0	1	0	0
soep-ti$$$s36$p5	soepti	1.0	0	0	0	0
	soewti	0.0	0	0	1	0
	soelti	0.0	0	0	0	1
	soeti	0.0	0	1	0	0
ssap-a$$$s37$p0	ssapa	0.0	1	0	0	0
	ssawa	1.0	0	0	1	0
	ssala	0.0	0	0	0	1
	ssaa	0.0	0	1	0	0
ssap-ta$$$s37$p1	ssapta	1.0	0	0	0	0
	ssawta	0.0	0	0	1	0
	ssalta	0.0	0	0	0	1
	ssata	0.0	0	1	0	0
ssap-e$$$s37$p2	ssape	0.0	1	0	0	0
	ssawe	1.0	0	0	1	0
	ssale	0.0	0	0	0	1
	ssae	0.0	0	1	0	0
ssap-te$$$s37$p3	ssapte	1.0	0	0	0	0
	ssawte	0.0	0	0	1	0
	ssalte	0.0	0	0	0	1
	ssate	0.0	0	1	0	0
ssap-i$$$s37$p4	ssapi	0.0	1	0	0	0
	ssawi	1.0	0	0	1	0
	ssali	0.0	0	0	0	1
	ssai	0.0	0	1	0	0
ssap-ti$$$s37$p5	ssapti	1.0	0	0	0	0
	ssawti	0.0	0	0	1	0
	ssalti	0.0	0	0	0	1
	ssati	0.0	0	1	0	0
taep-a$$$s38$p0	taepa	0.0	1	0	0	0
	taewa	1.0	0	0	1	0
	taela	0.0	0	0	0	1
	taea	0.0	0	1	0	0
taep-ta$$$s38$p1	taepta	1.0	0	0	0	0
	taewta	0.0	0	0	1	0
	taelta	0.0	0	0	0	1
	taeta	0.0	0	1	0	0
taep-e$$$s38$p2	taepe	0.0	1	0	0	0
	taewe	1.0	0	0	1	0
	taele	0.0	0	0	0	1
	taee	0.0	0	1	0	0
taep-te$$$s38$p3	taepte	1.0	0	0	0	0
	taewte	0.0	0	0	1	0
	taelte	0.0	0	0	0	1
	taete	0.0	0	1	0	0
taep-i$$$s38$p4	taepi	0.0	1	0	0	0
	taewi	1.0	0	0	1	0
	taeli	0.0	0	0	0	1
	taei	0.0	0	1	0	0
taep-ti$$$s38$p5	taepti	1.0	0	0	0	0
	taewti	0.0	0	0	1	0
	taelti	0.0	0	0	0	1
	taeti	0.0	0	1	0	0
mwip-a$$$s39$p0	mwipa	0.0	1	0	0	0
	mwiwa	1.0	0	0	1	0
	mwila	0.0	0	0	0	1
	mwia	0.0	0	1	0	0
mwip-ta$$$s39$p1	mwipta	1.0	0	0	0	0
	mwiwta	0.0	0	0	1	0
	mwilta	0.0	0	0	0	1
	mwita	0.0	0	1	0	0
mwip-e$$$s39$p2	mwipe	0.0	1	0	0	0
	mwiwe	1.0	0	0	1	0
	mwile	0.0	0	0	0	1
	mwie	0.0	0	1	0	0
mwip-te$$$s39$p3	mwipte	1.0	0	0	0	0
	mwiwte	0.0	0	0	1	0
	mwilte	0.0	0	0	0	1
	mwite	0.0	0	1	0	0
mwip-i$$$s39$p4	mwipi	0.0	1	0	0	0
	mwiwi	1.0	0	0	1	0
	mwili	0.0	0	0	0	1
	mwii	0.0	0	1	0	0
mwip-ti$$$s39$p5	mwipti	1.0	0	0	0	0
	mwiwti	0.0	0	0	1	0
	mwilti	0.0	0	0	0	1
	mwiti	0.0	0	1	0	0
rup-a$$$s40$p0	rupa	0.0	1	0	0	0
	ruwa	1.0	0	0	1	0
	rula	0.0	0	0	0	1
	rua	0.0	0	1	0	0
rup-ta$$$s40$p1	rupta	1.0	0	0	0	0
	ruwta	0.0	0	0	1	0
	rulta	0.0	0	0	0	1
	ruta	0.0	0	1	0	0
rup-e$$$s40$p2	rupe	0.0	1	0	0	0
	ruwe	1.0	0	0	1	0
	rule	0.0	0	0	0	1
	rue	0.0	0	1	0	0
rup-te$$$s40$p3	rupte	1.0	0	0	0	0
	ruwte	0.0	0	0	1	0
	rulte	0.0	0	0	0	1
	rute	0.0	0	1	0	0
rup-i$$$s40$p4	rupi	0.0	1	0	0	0
	ruwi	1.0	0	0	1	0
	ruli	0.0	0	0	0	1
	rui	0.0	0	1	0	0
rup-ti$$$s40$p5	rupti	1.0	0	0	0	0
	ruwti	0.0	0	0	1	0
	rulti	0.0	0	0	0	1
	ruti	0.0	0	1	0	0
chwip-a$$$s41$p0	chwipa	0.0	1	0	0	0
	chwiwa	1.0	0	0	1	0
	chwila	0.0	0	0	0	1
	chwia	0.0	0	1	0	0
chwip-ta$$$s41$p1	chwipta	1.0	0	0	0	0
	chwiwta	0.0	0	0	1	0
	chwilta	0.0	0	0	0	1
	chwita	0.0	0	1	0	0
chwip-e$$$s41$p2	chwipe	0.0	1	0	0	0
	chwiwe	1.0	0	0	1	0
	chwile	0.0	0	0	0	1
	chwie	0.0	0	1	0	0
chwip-te$$$s41$p3	chwipte	1.0	0	0	0	0
	chwiwte	0.0	0	0	1	0
	chwilte	0.0	0	0	0	1
	chwite	0.0	0	1	0	0
chwip-i$$$s41$p4	chwipi	0.0	1	0	0	0
	chwiwi	1.0	0	0	1	0
	chwili	0.0	0	0	0	1
	chwii	0.0	0	1	0	0
chwip-ti$$$s41$p5	chwipti	1.0	0	0	0	0
	chwiwti	0.0	0	0	1	0
	chwilti	0.0	0	0	0	1
	chwiti	0.0	0	1	0	0
bep-a$$$s42$p0	bepa	0.0	1	0	0	0
	bewa	1.0	0	0	1	0
	bela	0.0	0	0	0	1
	bea	0.0	0	1	0	0
bep-ta$$$s42$p1	bepta	1.0	0	0	0	0
	bewta	0.0	0	0	1	0
	belta	0.0	0	0	0	1
	beta	0.0	0	1	0	0
bep-e$$$s42$p2	bepe	0.0	1	0	0	0
	bewe	1.0	0	0	1	0
	bele	0.0	0	0	0	1
	bee	0.0	0	1	0	0
bep-te$$$s42$p3	bepte	1.0	0	0	0	0
	bewte	0.0	0	0	1	0
	belte	0.0	0	0	0	1
	bete	0.0	0	1	0	0
bep-i$$$s42$p4	bepi	0.0	1	0	0	0
	bewi	1.0	0	0	1	0
	beli	0.0	0	0	0	1
	bei	0.0	0	1	0	0
bep-ti$$$s42$p5	bepti	1.0	0	0	0	0
	bewti	0.0	0	0	1	0
	belti	0.0	0	0	0	1
	beti	0.0	0	1	0	0
peup-a$$$s43$p0	peupa	0.0	1	0	0	0
	peuwa	1.0	0	0	1	0
	peula	0.0	0	0	0	1
	peua	0.0	0	1	0	0
peup-ta$$$s43$p1	peupta	1.0	0	0	0	0
	peuwta	0.0	0	0	1	0
	peulta	0.0	0	0	0	1
	peuta	0.0	0	1	0	0
peup-e$$$s43$p2	peupe	0.0	1	0	0	0
	peuwe	1.0	0	0	1	0
	peule	0.0	0	0	0	1
	peue	0.0	0	1	0	0
peup-te$$$s43$p3	peupte	1.0	0	0	0	0
	peuwte	0.0	0	0	1	0
	peulte	0.0	0	0	0	1
	peute	0.0	0	1	0	0
peup-i$$$s43$p4	peupi	0.0	1	0	0	0
	peuwi	1.0	0	0	1	0
	peuli	0.0	0	0	0	1
	peui	0.0	0	1	0	0
peup-ti$$$s43$p5	peupti	1.0	0	0	0	0
	peuwti	0.0	0	0	1	0
	peulti	0.0	0	0	0	1
	peuti	0.0	0	1	0	0
ppep-a$$$s44$p0	ppepa	0.0	1	0	0	0
	ppewa	1.0	0	0	1	0
	ppela	0.0	0	0	0	1
	ppea	0.0	0	1	0	0
ppep-ta$$$s44$p1	ppepta	1.0	0	0	0	0
	ppewta	0.0	0	0	1	0
	ppelta	0.0	0	0	0	1
	ppeta	0.0	0	1	0	0
ppep-e$$$s44$p2	ppepe	0.0	1	0	0	0
	ppewe	1.0	0	0	1	0
	ppele	0.0	0	0	0	1
	ppee	0.0	0	1	0	0
ppep-te$$$s44$p3	ppepte	1.0	0	0	0	0
	ppewte	0.0	0	0	1	0
	ppelte	0.0	0	0	0	1
	ppete	0.0	0	1	0	0
ppep-i$$$s44$p4	ppepi	0.0	1	0	0	0
	ppewi	1.0	0	0	1	0
	ppeli	0.0	0	0	0	1
	ppei	0.0	0	1	0	0
ppep-ti$$$s44$p5	ppepti	1.0	0	0	0	0
	ppewti	0.0	0	0	1	0
	ppelti	0.0	0	0	0	1
	ppeti	0.0	0	1	0	0
chop-a$$$s45$p0	chopa	0.0	1	0	0	0
	chowa	1.0	0	0	1	0
	chola	0.0	0	0	0	1
	choa	0.0	0	1	0	0
chop-ta$$$s45$p1	chopta	1.0	0	0	0	0
	chowta	0.0	0	0	1	0
	cholta	0.0	0	0	0	1
	chota	0.0	0	1	0	0
chop-e$$$s45$p2	chope	0.0	1	0	0	0
	chowe	1.0	0	0	1	0
	chole	0.0	0	0	0	1
	choe	0.0	0	1	0	0
chop-te$$$s45$p3	chopte	1.0	0	0	0	0
	chowte	0.0	0	0	1	0
	cholte	0.0	0	0	0	1
	chote	0.0	0	1	0	0
chop-i$$$s45$p4	chopi	0.0	1	0	0	0
	chowi	1.0	0	0	1	0
	choli	0.0	0	0	0	1
	choi	0.0	0	1	0	0
chop-ti$$$s45$p5	chopti	1.0	0	0	0	0
	chowti	0.0	0	0	1	0
	cholti	0.0	0	0	0	1
	choti	0.0	0	1	0	0
keup-a$$$s46$p0	keupa	0.0	1	0	0	0
	keuwa	1.0	0	0	1	0
	keula	0.0	0	0	0	1
	keua	0.0	0	1	0	0
keup-ta$$$s46$p1	keupta	1.0	0	0	0	0
	keuwta	0.0	0	0	1	0
	keulta	0.0	0	0	0	1
	keuta	0.0	0	1	0	0
keup-e$$$s46$p2	keupe	0.0	1	0	0	0
	keuwe	1.0	0	0	1	0
	keule	0.0	0	0	0	1
	keue	0.0	0	1	0	0
keup-te$$$s46$p3	keupte	1.0	0	0	0	0
	keuwte	0.0	0	0	1	0
	keulte	0.0	0	0	0	1
	keute	0.0	0	1	0	0
keup-i$$$s46$p4	keupi	0.0	1	0	0	0
	keuwi	1.0	0	0	1	0
	keuli	0.0	0	0	0	1
	keui	0.0	0	1	0	0
keup-ti$$$s46$p5	keupti	1.0	0	0	0	0
	keuwti	0.0	0	0	1	0
	keulti	0.0	0	0	0	1
	keuti	0.0	0	1	0	0
geup-a$$$s47$p0	geupa	0.0	1	0	0	0
	geuwa	1.0	0	0	1	0
	geula	0.0	0	0	0	1
	geua	0.0	0	1	0	0
geup-ta$$$s47$p1	geupta	1.0	0	0	0	0
	geuwta	0.0	0	0	1	0
	geulta	0.0	0	0	0	1
	geuta	0.0	0	1	0	0
geup-e$$$s47$p2	geupe	0.0	1	0	0	0
	geuwe	1.0	0	0	1	0
	geule	0.0	0	0	0	1
	geue	0.0	0	1	0	0
geup-te$$$s47$p3	geupte	1.0	0	0	0	0
	geuwte	0.0	0	0	1	0
	geulte	0.0	0	0	0	1
	geute	0.0	0	1	0	0
geup-i$$$s47$p4	geupi	0.0	1	0	0	0
	geuwi	1.0	0	0	1	0
	geuli	0.0	0	0	0	1
	geui	0.0	0	1	0	0
geup-ti$$$s47$p5	geupti	1.0	0	0	0	0
	geuwti	0.0	0	0	1	0
	geulti	0.0	0	0	0	1
	geuti	0.0	0	1	0	0
nip-a$$$s48$p0	nipa	0.0	1	0	0	0
	niwa	1.0	0	0	1	0
	nila	0.0	0	0	0	1
	nia	0.0	0	1	0	0
nip-ta$$$s48$p1	nipta	1.0	0	0	0	0
	niwta	0.0	0	0	1	0
	nilta	0.0	0	0	0	1
	nita	0.0	0	1	0	0
nip-e$$$s48$p2	nipe	0.0	1	0	0	0
	niwe	1.0	0	0	1	0
	nile	0.0	0	0	0	1
	nie	0.0	0	1	0	0
nip-te$$$s48$p3	nipte	1.0	0	0	0	0
	niwte	0.0	0	0	1	0
	nilte	0.0	0	0	0	1
	nite	0.0	0	1	0	0
nip-i$$$s48$p4	nipi	0.0	1	0	0	0
	niwi	1.0	0	0	1	0
	nili	0.0	0	0	0	1
	nii	0.0	0	1	0	0
nip-ti$$$s48$p5	nipti	1.0	0	0	0	0
	niwti	0.0	0	0	1	0
	nilti	0.0	0	0	0	1
	niti	0.0	0	1	0	0
ppip-a$$$s49$p0	ppipa	0.0	1	0	0	0
	ppiwa	1.0	0	0	1	0
	ppila	0.0	0	0	0	1
	ppia	0.0	0	1	0	0
ppip-ta$$$s49$p1	ppipta	1.0	0	0	0	0
	ppiwta	0.0	0	0	1	0
	ppilta	0.0	0	0	0	1
	ppita	0.0	0	1	0	0
ppip-e$$$s49$p2	ppipe	0.0	1	0	0	0
	ppiwe	1.0	0	0	1	0
	ppile	0.0	0	0	0	1
	ppie	0.0	0	1	0	0
ppip-te$$$s49$p3	ppipte	1.0	0	0	0	0
	ppiwte	0.0	0	0	1	0
	ppilte	0.0	0	0	0	1
	ppite	0.0	0	1	0	0
ppip-i$$$s49$p4	ppipi	0.0	1	0	0	0
	ppiwi	1.0	0	0	1	0
	ppili	0.0	0	0	0	1
	ppii	0.0	0	1	0	0
ppip-ti$$$s49$p5	ppipti	1.0	0	0	0	0
	ppiwti	0.0	0	0	1	0
	ppilti	0.0	0	0	0	1
	ppiti	0.0	0	1	0	0
saep-a$$$s50$p0	saepa	0.0	1	0	0	0
	saewa	1.0	0	0	1	0
	saela	0.0	0	0	0	1
	saea	0.0	0	1	0	0
saep-ta$$$s50$p1	saepta	1.0	0	0	0	0
	saewta	0.0	0	0	1	0
	saelta	0.0	0	0	0	1
	saeta	0.0	0	1	0	0
saep-e$$$s50$p2	saepe	0.0	1	0	0	0
	saewe	1.0	0	0	1	0
	saele	0.0	0	0	0	1
	saee	0.0	0	1	0	0
saep-te$$$s50$p3	saepte	1.0	0	0	0	0
	saewte	0.0	0	0	1	0
	saelte	0.0	0	0	0	1
	saete	0.0	0	1	0	0
saep-i$$$s50$p4	saepi	0.0	1	0	0	0
	saewi	1.0	0	0	1	0
	saeli	0.0	0	0	0	1
	saei	0.0	0	1	0	0
saep-ti$$$s50$p5	saepti	1.0	0	0	0	0
	saewti	0.0	0	0	1	0
	saelti	0.0	0	0	0	1
	saeti	0.0	0	1	0	0
noep-a$$$s51$p0	noepa	0.0	1	0	0	0
	noewa	1.0	0	0	1	0
	noela	0.0	0	0	0	1
	noea	0.0	0	1	0	0
noep-ta$$$s51$p1	noepta	1.0	0	0	0	0
	noewta	0.0	0	0	1	0
	noelta	0.0	0	0	0	1
	noeta	0.0	0	1	0	0
noep-e$$$s51$p2	noepe	0.0	1	0	0	0
	noewe	1.0	0	0	1	0
	noele	0.0	0	0	0	1
	noee	0.0	0	1	0	0
noep-te$$$s51$p3	noepte	1.0	0	0	0	0
	noewte	0.0	0	0	1	0
	noelte	0.0	0	0	0	1
	noete	0.0	0	1	0	0
noep-i$$$s51$p4	noepi	0.0	1	0	0	0
	noewi	1.0	0	0	1	0
	noeli	0.0	0	0	0	1
	noei	0.0	0	1	0	0
noep-ti$$$s51$p5	noepti	1.0	0	0	0	0
	noewti	0.0	0	0	1	0
	noelti	0.0	0	0	0	1
	noeti	0.0	0	1	0	0
kkap-a$$$s52$p0	kkapa	0.0	1	0	0	0
	kkawa	1.0	0	0	1	0
	kkala	0.0	0	0	0	1
	kkaa	0.0	0	1	0	0
kkap-ta$$$s52$p1	kkapta	1.0	0	0	0	0
	kkawta	0.0	0	0	1	0
	kkalta	0.0	0	0	0	1
	kkata	0.0	0	1	0	0
kkap-e$$$s52$p2	kkape	0.0	1	0	0	0
	kkawe	1.0	0	0	1	0
	kkale	0.0	0	0	0	1
	kkae	0.0	0	1	0	0
kkap-te$$$s52$p3	kkapte	1.0	0	0	0	0
	kkawte	0.0	0	0	1	0
	kkalte	0.0	0	0	0	1
	kkate	0.0	0	1	0	0
kkap-i$$$s52$p4	kkapi	0.0	1	0	0	0
	kkawi	1.0	0	0	1	0
	kkali	0.0	0	0	0	1
	kkai	0.0	0	1	0	0
kkap-ti$$$s52$p5	kkapti	1.0	0	0	0	0
	kkawti	0.0	0	0	1	0
	kkalti	0.0	0	0	0	1
	kkati	0.0	0	1	0	0
jjup-a$$$s53$p0	jjupa	0.0	1	0	0	0
	jjuwa	1.0	0	0	1	0
	jjula	0.0	0	0	0	1
	jjua	0.0	0	1	0	0
jjup-ta$$$s53$p1	jjupta	1.0	0	0	0	0
	jjuwta	0.0	0	0	1	0
	jjulta	0.0	0	0	0	1
	jjuta	0.0	0	1	0	0
jjup-e$$$s53$p2	jjupe	0.0	1	0	0	0
	jjuwe	1.0	0	0	1	0
	jjule	0.0	0	0	0	1
	jjue	0.0	0	1	0	0
jjup-te$$$s53$p3	jjupte	1.0	0	0	0	0
	jjuwte	0.0	0	0	1	0
	jjulte	0.0	0	0	0	1
	jjute	0.0	0	1	0	0
jjup-i$$$s53$p4	jjupi	0.0	1	0	0	0
	jjuwi	1.0	0	0	1	0
	jjuli	0.0	0	0	0	1
	jjui	0.0	0	1	0	0
jjup-ti$$$s53$p5	jjupti	1.0	0	0	0	0
	jjuwti	0.0	0	0	1	0
	jjulti	0.0	0	0	0	1
	jjuti	0.0	0	1	0	0
gwip-a$$$s54$p0	gwipa	0.0	1	0	0	0
	gwiwa	1.0	0	0	1	0
	gwila	0.0	0	0	0	1
	gwia	0.0	0	1	0	0
gwip-ta$$$s54$p1	gwipta	1.0	0	0	0	0
	gwiwta	0.0	0	0	1	0
	gwilta	0.0	0	0	0	1
	gwita	0.0	0	1	0	0
gwip-e$$$s54$p2	gwipe	0.0	1	0	0	0
	gwiwe	1.0	0	0	1	0
	gwile	0.0	0	0	0	1
	gwie	0.0	0	1	0	0
gwip-te$$$s54$p3	gwipte	1.0	0	0	0	0
	gwiwte	0.0	0	0	1	0
	gwilte	0.0	0	0	0	1
	gwite	0.0	0	1	0	0
gwip-i$$$s54$p4	gwipi	0.0	1	0	0	0
	gwiwi	1.0	0	0	1	0
	gwili	0.0	0	0	0	1
	gwii	0.0	0	1	0	0
gwip-ti$$$s54$p5	gwipti	1.0	0	0	0	0
	gwiwti	0.0	0	0	1	0
	gwilti	0.0	0	0	0	1
	gwiti	0.0	0	1	0	0
jjep-a$$$s55$p0	jjepa	0.0	1	0	0	0
	jjewa	1.0	0	0	1	0
	jjela	0.0	0	0	0	1
